new_year,er_fsh_aqua_mt,er_fsh_capt_mt
1960-01-01,0.0,200.0
1961-01-01,0.0,300.0
1962-01-01,0.0,300.0
1963-01-01,0.0,300.0
1964-01-01,0.0,300.0
1965-01-01,0.0,300.0
1966-01-01,0.0,300.0
1967-01-01,0.0,400.0
1968-01-01,0.0,400.0
1969-01-01,60.0,400.0
1970-01-01,60.0,400.0
1971-01-01,60.0,500.0
1972-01-01,60.0,500.0
1973-01-01,60.0,500.0
1974-01-01,60.0,500.0
1975-01-01,60.0,600.0
1976-01-01,170.0,600.0
1977-01-01,170.0,600.0
1978-01-01,170.0,600.0
1979-01-01,170.0,600.0
1980-01-01,170.0,700.0
1981-01-01,170.0,700.0
1982-01-01,170.0,700.0
1983-01-01,170.0,800.0
1984-01-01,170.0,800.0
1985-01-01,170.0,800.0
1986-01-01,170.0,800.0
1987-01-01,170.0,1000.0
1988-01-01,170.0,1000.0
1989-01-01,170.0,1000.0
1990-01-01,300.0,1100.0
1991-01-01,300.0,1100.0
1992-01-01,300.0,1200.0
1993-01-01,300.0,1200.0
1994-01-01,300.0,1300.0
1995-01-01,300.0,1300.0
1996-01-01,300.0,1300.0
1997-01-01,300.0,1250.0
1998-01-01,300.0,1200.0
1999-01-01,300.0,1200.0
2000-01-01,300.0,1000.0
2001-01-01,450.0,800.0
2002-01-01,450.0,900.0
2003-01-01,450.0,900.0
2004-01-01,450.0,1000.0
2005-01-01,450.0,1000.0
2006-01-01,450.0,1000.0
2007-01-01,1050.0,1000.0
2008-01-01,1050.0,1000.0
2009-01-01,1650.0,1000.0
2010-01-01,2250.0,1000.0
2011-01-01,2850.0,1150.0
2012-01-01,3480.0,1300.0
2013-01-01,4110.0,1450.0
2014-01-01,4760.0,1600.0
2015-01-01,5450.0,1750.0
2016-01-01,6150.0,1900.0
2017-01-01,7000.0,2000.0
2018-01-01,7950.0,2050.0
2019-01-01,8629.0,2100.0
2020-01-01,9444.0,2000.0
2021-01-01,11107.0,1800.0
2022-01-01,11150.0,2000.0
2023-01-01,11660.0,2000.0
