Date,005930.KS
2020-01-02,47372.8515625
2020-01-03,47630.31640625
2020-01-06,47630.31640625
2020-01-07,47887.76953125
2020-01-08,48745.98046875
2020-01-09,50290.74609375
2020-01-10,51063.12109375
2020-01-13,51492.23046875
2020-01-14,51492.23046875
2020-01-15,50634.0234375
2020-01-16,52092.96875
2020-01-17,52607.90234375
2020-01-20,53551.90234375
2020-01-21,52693.71484375
2020-01-22,53466.09375
2020-01-23,52178.7890625
2020-01-28,50462.37890625
2020-01-29,50719.8359375
2020-01-30,49089.2578125
2020-01-31,48402.68359375
2020-02-03,49089.2578125
2020-02-04,50548.19921875
2020-02-05,51063.12109375
2020-02-06,52436.25390625
2020-02-07,51835.49609375
2020-02-10,51234.765625
2020-02-11,51406.40234375
2020-02-12,51921.3359375
2020-02-13,52092.96875
2020-02-14,53036.9921875
2020-02-17,52779.53515625
2020-02-18,51320.578125
2020-02-19,51663.87109375
2020-02-20,51492.23046875
2020-02-21,50805.6640625
2020-02-24,48745.98046875
2020-02-25,49689.99609375
2020-02-26,48488.51953125
2020-02-27,47973.58203125
2020-02-28,46514.64453125
2020-03-02,47201.2109375
2020-03-03,47544.4921875
2020-03-04,49260.890625
2020-03-05,49604.171875
2020-03-06,48488.51953125
2020-03-09,48488.51953125
2020-03-10,46857.92578125
2020-03-11,44712.4140625
2020-03-12,44712.4140625
2020-03-13,42867.2734375
2020-03-16,41966.17578125
2020-03-17,40593.03515625
2020-03-18,39134.078125
2020-03-19,36859.83984375
2020-03-20,38962.45703125
2020-03-23,36473.6640625
2020-03-24,40292.671875
2020-03-25,41751.609375
2020-03-26,41022.13671875
2020-03-27,41451.2421875
2020-03-30,41368.24609375
2020-03-31,41281.78515625
2020-04-01,39595.9375
2020-04-02,40460.48046875
2020-04-03,40633.390625
2020-04-06,42103.10546875
2020-04-07,42881.1953125
2020-04-08,42016.65234375
2020-04-09,42448.91796875
2020-04-10,42578.6015625
2020-04-13,41757.2890625
2020-04-14,42362.46875
2020-04-16,42362.46875
2020-04-17,44437.35546875
2020-04-20,43313.4609375
2020-04-21,42578.6015625
2020-04-22,43097.3203125
2020-04-23,43097.3203125
2020-04-24,42665.0546875
2020-04-27,43097.3203125
2020-04-28,43313.4609375
2020-04-29,43227.0078125
2020-05-04,41930.203125
2020-05-06,42535.390625
2020-05-07,42189.546875
2020-05-08,42189.546875
2020-05-11,41843.7421875
2020-05-12,41411.46875
2020-05-13,41973.41796875
2020-05-14,41497.92578125
2020-05-15,41368.24609375
2020-05-18,42189.546875
2020-05-19,43486.36328125
2020-05-20,43227.0078125
2020-05-21,43183.77734375
2020-05-22,42146.31640625
2020-05-25,42232.7890625
2020-05-26,42578.6015625
2020-05-27,43140.546875
2020-05-28,43572.8203125
2020-05-29,43832.18359375
2020-06-01,44264.44921875
2020-06-02,44437.35546875
2020-06-03,47117.44140625
2020-06-04,47203.890625
2020-06-05,47981.98046875
2020-06-08,47463.24609375
2020-06-09,47981.98046875
2020-06-10,47895.52734375
2020-06-11,46944.53125
2020-06-12,45215.4453125
2020-06-15,43140.546875
2020-06-16,45042.5390625
2020-06-17,45128.9921875
2020-06-18,45215.4453125
2020-06-19,45734.171875
2020-06-22,44956.08984375
2020-06-23,44437.35546875
2020-06-24,45734.171875
2020-06-25,44869.6328125
2020-06-26,46079.98828125
2020-06-29,45604.796875
2020-06-30,45952.9140625
2020-07-01,45778.85546875
2020-07-02,46039.94921875
2020-07-03,46649.1796875
2020-07-06,47867.62109375
2020-07-07,46475.109375
2020-07-08,46126.984375
2020-07-09,45952.9140625
2020-07-10,45865.890625
2020-07-13,46475.109375
2020-07-14,46823.2421875
2020-07-15,47606.53125
2020-07-16,46823.2421875
2020-07-17,47345.43359375
2020-07-20,47171.37890625
2020-07-21,48128.72265625
2020-07-22,47606.53125
2020-07-23,47084.3359375
2020-07-24,47171.37890625
2020-07-27,48389.8125
2020-07-28,51000.77734375
2020-07-29,51348.9140625
2020-07-30,51348.9140625
2020-07-31,50391.5546875
2020-08-03,49434.20703125
2020-08-04,49869.35546875
2020-08-05,49521.23046875
2020-08-06,50478.58203125
2020-08-07,50043.42578125
2020-08-10,50304.515625
2020-08-11,50652.6484375
2020-08-12,51348.9140625
2020-08-13,51087.80859375
2020-08-14,50478.58203125
2020-08-18,50826.7265625
2020-08-19,50304.515625
2020-08-20,48215.7578125
2020-08-21,48650.91796875
2020-08-24,48824.9765625
2020-08-25,49086.0703125
2020-08-26,49086.0703125
2020-08-27,48389.8125
2020-08-28,48215.7578125
2020-08-31,46997.30078125
2020-09-01,47171.37890625
2020-09-02,47345.43359375
2020-09-03,49086.0703125
2020-09-04,48389.8125
2020-09-07,49173.11328125
2020-09-08,51087.80859375
2020-09-09,50826.7265625
2020-09-10,51522.96875
2020-09-11,51348.9140625
2020-09-14,52567.35546875
2020-09-15,53089.55078125
2020-09-16,53089.55078125
2020-09-17,51784.0703125
2020-09-18,51610.00390625
2020-09-21,51522.96875
2020-09-22,50652.6484375
2020-09-23,51000.77734375
2020-09-24,50304.515625
2020-09-25,50391.5546875
2020-09-28,50964.2421875
2020-09-29,50964.2421875
2020-10-05,51402.0859375
2020-10-06,51664.79296875
2020-10-07,52452.890625
2020-10-08,52277.76171875
2020-10-12,52890.72265625
2020-10-13,53328.5703125
2020-10-14,53328.5703125
2020-10-15,52540.4609375
2020-10-16,52102.6171875
2020-10-19,52540.4609375
2020-10-20,53328.5703125
2020-10-21,53328.5703125
2020-10-22,52628.02734375
2020-10-23,52715.6015625
2020-10-26,52890.72265625
2020-10-27,52365.32421875
2020-10-28,51664.79296875
2020-10-29,50876.6796875
2020-10-30,49563.16015625
2020-11-02,50263.70703125
2020-11-03,51489.65234375
2020-11-04,51226.94921875
2020-11-05,52803.16015625
2020-11-06,52628.02734375
2020-11-09,52715.6015625
2020-11-10,52715.6015625
2020-11-11,53678.83984375
2020-11-12,53416.13671875
2020-11-13,55342.609375
2020-11-16,58057.20703125
2020-11-17,57531.80859375
2020-11-18,56743.69921875
2020-11-19,56568.55859375
2020-11-20,56656.125
2020-11-23,59108.01171875
2020-11-24,59283.15625
2020-11-25,58319.9140625
2020-11-26,59545.8515625
2020-11-27,59720.97265625
2020-11-30,58407.484375
2020-12-01,59370.7265625
2020-12-02,60859.359375
2020-12-03,61034.50390625
2020-12-04,62610.73046875
2020-12-07,63836.671875
2020-12-08,62785.84765625
2020-12-09,64712.33984375
2020-12-10,63836.671875
2020-12-11,64274.48828125
2020-12-14,64624.75390625
2020-12-15,64624.75390625
2020-12-16,64624.75390625
2020-12-17,64186.9296875
2020-12-18,63924.2421875
2020-12-21,63924.2421875
2020-12-22,63311.25390625
2020-12-23,64712.33984375
2020-12-24,68127.4609375
2020-12-28,68915.5625
2020-12-29,70290.859375
2020-12-30,72714.6953125
2021-01-04,74510.109375
2021-01-05,75318.0546875
2021-01-06,73791.9453125
2021-01-07,74420.34375
2021-01-08,79716.8515625
2021-01-11,81691.8046875
2021-01-12,81332.7421875
2021-01-13,80524.78125
2021-01-14,80524.78125
2021-01-15,78998.703125
2021-01-18,76305.546875
2021-01-19,78100.9765625
2021-01-20,78280.4921875
2021-01-21,79088.453125
2021-01-22,77921.4140625
2021-01-25,80255.4765625
2021-01-26,77831.65625
2021-01-27,76844.1640625
2021-01-28,75138.515625
2021-01-29,73612.4140625
2021-02-01,74510.109375
2021-02-02,75766.9140625
2021-02-03,75946.453125
2021-02-04,74061.2578125
2021-02-05,74958.9609375
2021-02-08,74510.109375
2021-02-09,74240.796875
2021-02-10,73253.3125
2021-02-15,75587.3671875
2021-02-16,76215.765625
2021-02-17,74689.65625
2021-02-18,73702.171875
2021-02-19,74151.0234375
2021-02-22,73791.9453125
2021-02-23,73612.4140625
2021-02-24,73612.4140625
2021-02-25,76574.859375
2021-02-26,74061.2578125
2021-03-02,75048.7421875
2021-03-03,75407.8203125
2021-03-04,73971.5
2021-03-05,73702.171875
2021-03-08,73612.4140625
2021-03-09,73073.78125
2021-03-10,72624.8984375
2021-03-11,73612.4140625
2021-03-12,74330.5546875
2021-03-15,73432.8828125
2021-03-16,74330.5546875
2021-03-17,73881.71875
2021-03-18,74420.34375
2021-03-19,73522.6171875
2021-03-22,73612.4140625
2021-03-23,73432.8828125
2021-03-24,72714.6953125
2021-03-25,72894.2421875
2021-03-26,73163.5390625
2021-03-29,73253.3125
2021-03-30,74119.8515625
2021-03-31,73398.4921875
2021-04-01,74751.046875
2021-04-02,76464.2734375
2021-04-05,77005.28125
2021-04-06,77546.3046875
2021-04-07,77185.640625
