new_year,er_fsh_aqua_mt,er_fsh_capt_mt
1960-01-01,958506.0,2215094.0
1961-01-01,777762.0,2395838.0
1962-01-01,741121.0,2539279.0
1963-01-01,856931.0,2491069.0
1964-01-01,1017083.0,2466117.0
1965-01-01,1159540.0,2530460.0
1966-01-01,1320775.0,2504425.0
1967-01-01,1315911.0,2509289.0
1968-01-01,1306208.0,2625692.0
1969-01-01,1513849.0,2553251.0
1970-01-01,1480670.0,2490020.0
1971-01-01,1790968.0,2703602.0
1972-01-01,1987611.0,3008671.0
1973-01-01,1823366.0,3099216.0
1974-01-01,1975622.0,3384961.0
1975-01-01,2157727.0,3496766.0
1976-01-01,2106125.0,3597449.0
1977-01-01,2788044.0,3623109.0
1978-01-01,2987334.0,3451288.0
1979-01-01,2901626.0,3071706.0
1980-01-01,3105342.0,3146970.0
1981-01-01,3033775.0,3140232.0
1982-01-01,3258008.0,3508610.0
1983-01-01,3657489.0,3670055.0
1984-01-01,4271240.0,3940713.0
1985-01-01,5026016.0,4210121.0
1986-01-01,5606227.0,4810254.0
1987-01-01,6325967.0,5407952.0
1988-01-01,7376299.0,5812730.0
1989-01-01,8101298.0,6224910.0
1990-01-01,8392965.0,6714530.0
1991-01-01,9695110.0,7452199.0
1992-01-01,12185159.0,8422552.0
1993-01-01,15221669.0,9475687.0
1994-01-01,18213586.0,11017836.0
1995-01-01,21152498.0,12712706.0
1996-01-01,23465788.0,14333737.0
1997-01-01,23747400.0,14719861.0
1998-01-01,25671892.0,15472568.0
1999-01-01,28000956.0,15208077.0
2000-01-01,29749708.0,14823866.0
2001-01-01,31102502.0,14403875.0
2002-01-01,33160272.0,14426596.0
2003-01-01,34891716.0,14598934.0
2004-01-01,37172412.0,14786243.0
2005-01-01,38943268.0,14850730.0
2006-01-01,40911092.0,14995706.0
2007-01-01,42530160.0,14987636.0
2008-01-01,44072890.0,15157263.0
2009-01-01,46062876.0,15062980.0
2010-01-01,47789756.0,15054057.0
2011-01-01,49147610.0,15263615.0
2012-01-01,52082584.0,15446318.0
2013-01-01,55029056.0,15633567.0
2014-01-01,57320504.0,16363366.0
2015-01-01,59368940.0,16647935.0
2016-01-01,62318376.0,16019262.0
2017-01-01,64358480.0,15576685.0
2018-01-01,66135060.0,14831109.0
2019-01-01,68423860.0,14169893.0
2020-01-01,70483540.0,13445983.0
2021-01-01,72805300.0,13142837.0
2022-01-01,75435000.0,13182663.0
2023-01-01,78276940.0,13424705.0
