new_year,entity,er_fsh_aqua_mt,er_fsh_capt_mt
2023-01-01,Malawi,4780.0,212817.86
2023-01-01,Honduras,102768.0,20300.0
2023-01-01,Laos,140000.0,73150.0
2023-01-01,Jordan,2719.4,655.0
2023-01-01,Malta,20833.295,2013.59
2023-01-01,Nepal,92740.0,21000.0
2023-01-01,Namibia,340.0,379335.3
2023-01-01,Yemen,10.0,151016.47
2023-01-01,Latvia,784.06,66837.61
2023-01-01,Zambia,76627.0,118026.0
2023-01-01,Hungary,17785.023,4601.538
2023-01-01,Germany,34961.3,182463.9
2023-01-01,Malaysia,507367.53,1293236.6
2023-01-01,Madagascar,37572.9,139962.44
2023-01-01,Kyrgyzstan,33600.0,0.0
2023-01-01,Gabon,90.0,29930.0
2023-01-01,Kiribati,2.0,239181.16
2023-01-01,Gambia,69.0,55455.0
2023-01-01,Kazakhstan,17107.709,35815.94
2023-01-01,Nauru,0.5,103233.0
2023-01-01,India,11321123.0,6177985.5
2023-01-01,Hong Kong,2059.81,86578.0
2023-01-01,Kenya,33265.0,134715.44
2023-01-01,Georgia,2458.4,213573.0
2023-01-01,Maldives,6.0,160683.19
2023-01-01,Netherlands,41670.7,267561.66
2023-01-01,Mali,9009.0,111130.0
2023-01-01,Ireland,35118.0,215134.33
2023-01-01,Myanmar,1197000.0,1623150.0
2023-01-01,Mongolia,0.0,0.0
2023-01-01,Italy,126291.555,128311.14
2023-01-01,Guyana,1565.0,36396.0
2023-01-01,Iceland,49602.0,1371121.6
2023-01-01,Guam,103.0,61.241
2023-01-01,Iraq,23944.85,42144.465
2023-01-01,Monaco,0.0,1.0
2023-01-01,Liechtenstein,0.0,0.0
2023-01-01,Moldova,14245.0,0.0
2023-01-01,Israel,14500.0,2135.0
2023-01-01,Afghanistan,11660.0,2000.0
2023-01-01,Mexico,276701.53,1845569.4
2023-01-01,Lithuania,4257.88,102405.414
2023-01-01,Guinea-Bissau,15.0,65040.0
2023-01-01,Guatemala,42490.34,14010.085
2023-01-01,Isle of Man,0.0,2946.0
2023-01-01,Guinea,5985.0,414207.0
2023-01-01,Grenada,26.0,3622.985
2023-01-01,Mauritius,2354.545,35484.71
2023-01-01,Libya,10.0,32130.0
2023-01-01,Luxembourg,0.0,0.0
2023-01-01,Lebanon,938.0,2630.0
2023-01-01,Indonesia,15361425.0,7820833.5
2023-01-01,Macao,0.0,1500.0
2023-01-01,Marshall Islands,2.96,73935.7
2023-01-01,Gibraltar,0.0,1.0
2023-01-01,Micronesia (country),0.5,162661.78
2023-01-01,Mozambique,6035.0,413539.97
2023-01-01,Lesotho,2006.8,0.0
2023-01-01,Ghana,100042.0,384369.84
2023-01-01,Japan,879361.1,2904942.0
2023-01-01,Morocco,2366.593,1435360.6
2023-01-01,Mauritania,0.0,795575.0
2023-01-01,Haiti,1655.0,16420.0
2023-01-01,Liberia,1362.0,28172.193
2023-01-01,Iran,616650.0,764512.0
2023-01-01,Jamaica,970.2,12529.0
2023-01-01,Greenland,32.0,397290.66
2023-01-01,Montenegro,1364.0,815.8
2023-01-01,Greece,141932.77,62986.32
2023-01-01,New Caledonia,1429.0,2763.655
2023-01-01,Angola,10313.0,548231.9
2023-01-01,New Zealand,109154.0,327003.16
2023-01-01,Bulgaria,9928.228,6703.989
2023-01-01,Brunei,1690.55,17696.02
2023-01-01,Sudan,5500.0,40960.0
2023-01-01,British Virgin Islands,1.0,1126.541
2023-01-01,Suriname,45.0,31870.0
2023-01-01,Brazil,793095.9,778822.0
2023-01-01,Sri Lanka,60888.0,338161.2
2023-01-01,Sweden,11425.2,154654.14
2023-01-01,Switzerland,2500.0,1446.0
2023-01-01,Bosnia and Herzegovina,4065.6,305.0
2023-01-01,Syria,1655.0,4450.0
2023-01-01,Bolivia,29050.0,16766.0
2023-01-01,Tajikistan,2348.0,2600.002
2023-01-01,Bhutan,43.0,9.0
2023-01-01,Botswana,166.0,1041.0
2023-01-01,Tanzania,122095.7,482695.03
2023-01-01,Burkina Faso,1187.0,30278.748
2023-01-01,South Sudan,50.0,47000.0
2023-01-01,Central African Republic,390.0,29000.0
2023-01-01,American Samoa,18.0,1209.031
2023-01-01,Slovenia,1138.8,261.532
2023-01-01,Cayman Islands,90.0,125.0
2023-01-01,Solomon Islands,710.128,40061.152
2023-01-01,Cape Verde,35.0,8138.314
2023-01-01,Spain,243109.5,766685.6
2023-01-01,Somalia,0.0,30000.0
2023-01-01,South Africa,8660.82,478243.47
2023-01-01,Cameroon,12230.0,229332.0
2023-01-01,Cambodia,314000.0,551950.0
2023-01-01,Venezuela,63524.0,194210.72
2023-01-01,South Korea,2304411.2,1316956.9
2023-01-01,Burundi,615.0,20120.0
2023-01-01,Canada,146183.0,726618.6
2023-01-01,Slovakia,2768.0,1655.55
2023-01-01,Bermuda,0.0,395.0
2023-01-01,Andorra,0.0,0.0
2023-01-01,Azerbaijan,3447.8,63038.3
2023-01-01,Ukraine,15270.822,28164.906
2023-01-01,Austria,5170.229,350.0
2023-01-01,United Arab Emirates,2257.836,59445.0
2023-01-01,Australia,120268.92,221915.64
2023-01-01,United Kingdom,183110.11,717392.25
2023-01-01,Uganda,129980.0,716513.0
2023-01-01,United States,456367.5,4623694.0
2023-01-01,United States Virgin Islands,8.0,420.0
2023-01-01,Armenia,24800.0,1099.999
2023-01-01,Argentina,5515.964,836232.94
2023-01-01,Uruguay,63.775,67058.84
2023-01-01,Antigua and Barbuda,20.0,3265.0
2023-01-01,Uzbekistan,140283.0,55600.0
2023-01-01,Aruba,1.5,170.0
2023-01-01,Thailand,1001222.0,1547449.1
