Date,005930.KS
2020-01-02,
2020-01-03,
2020-01-06,
2020-01-07,
2020-01-08,
2020-01-09,
2020-01-10,
2020-01-13,
2020-01-14,
2020-01-15,
2020-01-16,
2020-01-17,
2020-01-20,
2020-01-21,
2020-01-22,
2020-01-23,
2020-01-28,
2020-01-29,
2020-01-30,
2020-01-31,
2020-02-03,
2020-02-04,
2020-02-05,
2020-02-06,
2020-02-07,
2020-02-10,
2020-02-11,
2020-02-12,
2020-02-13,
2020-02-14,
2020-02-17,
2020-02-18,
2020-02-19,
2020-02-20,
2020-02-21,
2020-02-24,
2020-02-25,
2020-02-26,
2020-02-27,
2020-02-28,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-16,
2020-03-17,
2020-03-18,
2020-03-19,
2020-03-20,
2020-03-23,
2020-03-24,
2020-03-25,
2020-03-26,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-13,
2020-04-14,
2020-04-16,
2020-04-17,
2020-04-20,
2020-04-21,
2020-04-22,
2020-04-23,
2020-04-24,
2020-04-27,
2020-04-28,
2020-04-29,
2020-05-04,
2020-05-06,
2020-05-07,
2020-05-08,
2020-05-11,
2020-05-12,
2020-05-13,
2020-05-14,
2020-05-15,
2020-05-18,
2020-05-19,
2020-05-20,
2020-05-21,
2020-05-22,
2020-05-25,
2020-05-26,
2020-05-27,
2020-05-28,
2020-05-29,
2020-06-01,
2020-06-02,
2020-06-03,
2020-06-04,
2020-06-05,
2020-06-08,
2020-06-09,
2020-06-10,
2020-06-11,
2020-06-12,
2020-06-15,
2020-06-16,
2020-06-17,
2020-06-18,
2020-06-19,
2020-06-22,
2020-06-23,
2020-06-24,
2020-06-25,45832.17438151042
2020-06-26,45821.40052083333
2020-06-29,45804.52119140625
2020-06-30,45790.54283854167
2020-07-01,45772.9685546875
2020-07-02,45750.418294270836
2020-07-03,45720.07190755208
2020-07-06,45693.44274088542
2020-07-07,45651.6333984375
2020-07-08,45606.923014322914
2020-07-09,45567.91376953125
2020-07-10,45516.02145182292
2020-07-13,45464.91484375
2020-07-14,45408.84267578125
2020-07-15,45366.449479166666
2020-07-16,45311.0923828125
2020-07-17,45270.81442057292
2020-07-20,45243.389420572916
2020-07-21,45221.79680989583
2020-07-22,45209.440755208336
2020-07-23,45198.45452473958
2020-07-24,45182.47220052083
2020-07-27,45164.48564453125
2020-07-28,45163.96611328125
2020-07-29,45154.904947916664
2020-07-30,45150.85009765625
2020-07-31,45143.82333984375
2020-08-03,45127.38837890625
2020-08-04,45110.28854166667
2020-08-05,45088.85738932292
2020-08-06,45067.5373046875
2020-08-07,45044.73639322917
2020-08-10,45036.269205729164
2020-08-11,45027.84235026042
2020-08-12,45026.648046875
2020-08-13,45028.999251302084
2020-08-14,45043.43759765625
2020-08-18,45052.9103515625
2020-08-19,45068.04365234375
2020-08-20,45070.061783854166
2020-08-21,45087.8640625
2020-08-24,45101.39544270833
2020-08-25,45114.241927083334
2020-08-26,45112.78509114583
2020-08-27,45102.6654296875
2020-08-28,45100.392415364586
2020-08-31,45087.965592447916
2020-09-01,45090.57770182292
2020-09-02,45112.51953125
2020-09-03,45148.96666666667
2020-09-04,45194.98782552083
2020-09-07,45255.045638020834
2020-09-08,45342.50208333333
2020-09-09,45439.9408203125
2020-09-10,45562.133561197916
2020-09-11,45665.35403645833
2020-09-14,45799.46813151042
2020-09-15,45906.1087890625
2020-09-16,46000.591634114586
2020-09-17,46090.2744140625
2020-09-18,46174.93076171875
2020-09-21,46259.553450520834
2020-09-22,46337.64397786458
2020-09-23,46432.684309895834
2020-09-24,46514.717936197914
2020-09-25,46596.035970052086
2020-09-28,46669.87877604167
2020-09-29,46737.2375
2020-10-05,46815.449446614584
2020-10-06,46892.24840494792
2020-10-07,46974.53414713542
2020-10-08,47062.204752604164
2020-10-12,47149.940201822916
2020-10-13,47241.324381510414
2020-10-14,47315.41783854167
2020-10-15,47392.30950520833
2020-10-16,47471.67630208333
2020-10-19,47550.369140625
2020-10-20,47635.629557291664
2020-10-21,47724.4921875
2020-10-22,47803.91474609375
2020-10-23,47882.26591796875
2020-10-26,47962.796875
2020-10-27,48049.75621744792
2020-10-28,48125.8345703125
2020-10-29,48198.22734375
2020-10-30,48259.67412109375
2020-11-02,48329.840494791664
2020-11-03,48413.825358072914
2020-11-04,48490.93811848958
2020-11-05,48585.14840494792
2020-11-06,48678.97991536458
2020-11-09,48766.697037760416
2020-11-10,48843.60735677083
2020-11-11,48930.70595703125
2020-11-12,49015.97561848958
2020-11-13,49125.9447265625
2020-11-16,49257.81487630208
2020-11-17,49382.42493489583
2020-11-18,49495.78453776042
2020-11-19,49604.082356770836
2020-11-20,49710.94853515625
2020-11-23,49834.64488932292
2020-11-24,49958.35989583333
2020-11-25,50051.71383463542
2020-11-26,50154.56350911458
2020-11-27,50252.388444010416
2020-11-30,50343.5904296875
2020-12-01,50438.49664713542
2020-12-02,50546.528580729166
2020-12-03,50663.94501953125
2020-12-04,50808.90572916667
2020-12-07,50981.3734375
2020-12-08,51129.23434244792
2020-12-09,51292.42890625
2020-12-10,51447.605794270836
2020-12-11,51602.10843098958
2020-12-14,51766.01396484375
2020-12-15,51934.24228515625
2020-12-16,52091.663802083334
2020-12-17,52252.641276041664
2020-12-18,52401.34339192708
2020-12-21,52554.00543619792
2020-12-22,52698.65826822917
2020-12-23,52856.4373046875
2020-12-24,53040.49990234375
2020-12-28,53226.05309244792
2020-12-29,53412.913411458336
2020-12-30,53631.57662760417
2021-01-04,53868.10266927083
2021-01-05,54112.812174479164
2021-01-06,54345.529296875
2021-01-07,54578.40625
2021-01-08,54852.51966145833
2021-01-11,55136.56360677083
2021-01-12,55424.1427734375
2021-01-13,55700.63733723958
2021-01-14,55978.582356770836
2021-01-15,56235.832194010414
2021-01-18,56474.99065755208
2021-01-19,56733.462662760416
2021-01-20,56992.7052734375
2021-01-21,57248.52727864583
2021-01-22,57472.86591796875
2021-01-25,57713.75393880208
2021-01-26,57934.44345703125
2021-01-27,58154.88186848958
2021-01-28,58369.08444010417
2021-01-29,58566.94326171875
2021-02-01,58775.183919270836
2021-02-02,58985.92001953125
2021-02-03,59201.778580729166
2021-02-04,59399.75143229167
2021-02-05,59602.304036458336
2021-02-08,59795.31399739583
2021-02-09,59988.25556640625
