Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2020-01-02,47372.8515625,48059.414628623184,47201.2107959692,47630.312712296196,12993228
2020-01-03,47630.31640625,48574.34069538288,47115.39406672297,48059.41835585586,15422255
2020-01-06,47630.31640625,47716.13679617117,46857.93289695946,47115.39406672297,10278951
2020-01-07,47887.76953125,48402.69178427419,47716.12878024193,47801.94915574596,10009778
2020-01-08,48745.98046875,49260.90279764525,47973.596975407134,48231.05813985476,23501171
2020-01-09,50290.74609375,50290.74609375,49260.90146384386,50119.10532209898,24102579
2020-01-10,51063.12109375,51234.76183692227,50033.27663471639,50462.37849264706,16000170
2020-01-13,51492.23046875,51492.23046875,50719.84701171875,51148.94893229167,11359139
2020-01-14,51492.23046875,52350.434309895834,51406.41008463542,51835.51200520834,16906295
2020-01-15,50634.0234375,51148.94570974576,50548.20305879237,51063.125331038136,14300928
2020-01-16,52092.96875,52092.96875,50634.02234349259,50719.842720345965,14381774
2020-01-17,52607.90234375,53208.64511113377,52350.44115772838,53122.82471579323,16025661
2020-01-20,53551.90234375,53895.183769030446,52951.15984950921,53208.620918469554,12528855
2020-01-21,52693.71484375,53551.918668566774,52522.074078786645,53208.637138640064,11142693
2020-01-22,53466.09375,53723.55487560193,51835.5066211878,51921.32699638844,15339565
2020-01-23,52178.7890625,53036.99282997532,52092.968685752465,53036.99282997532,14916555
2020-01-28,50462.37890625,50977.30113998724,50033.27704480229,50977.30113998724,23664541
2020-01-29,50719.8359375,51234.758129758884,50462.37484137056,50719.8359375,16446102
2020-01-30,49089.2578125,50462.383905157345,48745.97628933567,50462.383905157345,20821939
2020-01-31,48402.68359375,50119.09081338652,48402.68359375,49604.168647495564,19749457
2020-02-03,49089.2578125,49260.898574082166,47372.85019667832,47630.31133905157,23995260
2020-02-04,50548.19921875,50634.01959093803,48745.971402801355,49003.43251936545,21800192
2020-02-05,51063.12109375,51663.863694852946,50548.19886423319,51492.22295168068,19278165
2020-02-06,52436.25390625,52436.25390625,51234.76854669599,51578.05007799713,14727159
2020-02-07,51835.49609375,52522.058955918874,51234.753589352236,52436.238598147764,16402493
2020-02-10,51234.765625,51320.586002931326,50719.843357412065,50805.66373534338,13107121
2020-02-11,51406.40234375,52092.965313282555,51234.76160136686,51320.58197255843,11071231
