new_year,er_fsh_aqua_mt,er_fsh_capt_mt
1960-01-01,8402457.0,131212776.0
1961-01-01,8044319.0,145950928.0
1962-01-01,8400755.0,158218161.0
1963-01-01,9396196.0,160917892.1
1964-01-01,10160024.0,177513084.1
1965-01-01,10978958.0,179229269.9
1966-01-01,11808991.0,194153523.8
1967-01-01,12289283.0,206635498.0
1968-01-01,13039034.0,218792676.0
1969-01-01,13779639.0,210642389.0
1970-01-01,14828484.0,231011978.0
1971-01-01,16617870.0,231368764.0
1972-01-01,18217221.0,211905540.0
1973-01-01,18868494.0,210816913.0
1974-01-01,20685580.0,222869068.0
1975-01-01,21843243.0,217094574.0
1976-01-01,22518695.0,230146219.0
1977-01-01,26552827.0,227420384.0
1978-01-01,28010886.0,236623090.9
1979-01-01,28303087.0,238675229.8
1980-01-01,30961925.0,239103612.1
1981-01-01,32523024.0,247940549.149
1982-01-01,34039907.0,254255162.83900002
1983-01-01,37552302.5,254140877.228
1984-01-01,41934146.5,274200624.311
1985-01-01,46585103.506,280775167.245
1986-01-01,51364110.104,300163105.231
1987-01-01,56268015.4,302870540.591
1988-01-01,62913959.0,316383072.279
1989-01-01,67031369.1,318995716.511
1990-01-01,67930587.0,306950981.362
1991-01-01,75240580.1,306703203.666
1992-01-01,88896855.9,350535008.965
1993-01-01,102733015.106,355580267.812
1994-01-01,116365613.96000001,378612203.037
1995-01-01,130222699.199,379244720.543
1996-01-01,141187919.18,385403032.445
1997-01-01,143176493.188,382836076.149
1998-01-01,151820168.101,352144137.607
1999-01-01,164983482.14200002,375935697.973
2000-01-01,172981411.01700002,383182900.996
2001-01-01,183039802.924,372208054.536
2002-01-01,195307624.136,373313238.796
2003-01-01,206825431.808,361683443.065
2004-01-01,223936153.003,380576621.921
2005-01-01,237321045.958,379059391.77500004
2006-01-01,252516279.124,370115448.902
2007-01-01,265999964.752,370120536.302
2008-01-01,281489464.886,366585766.804
2009-01-01,296085963.469,364128739.607
2010-01-01,312577507.519,356730987.037
2011-01-01,327076663.145,374316844.188
2012-01-01,353232578.417,362221158.856
2013-01-01,380325177.989,367891484.686
2014-01-01,399049051.097,370205981.65999997
2015-01-01,416516012.661,374429891.73
2016-01-01,433549898.3,366414201.414
2017-01-01,449624575.503,381724818.613
2018-01-01,464549434.32199997,393094301.442
2019-01-01,479565259.201,376629367.042
2020-01-01,491703853.125,365848179.514
2021-01-01,505488091.901,372716779.322
2022-01-01,512635679.656,360251545.26100004
2023-01-01,135768373.337,91898331.355
